1000 62
1 910205855 303787404
1 710990379 16287945
1 862995909 267690725
1 874625610 100042133
1 83989594 716350279
1 505517714 790911666
1 348464997 463299210
1 712698899 814096174
1 444401220 103180274
1 47171291 386422094
1 147638177 804207132
1 63875363 604381019
1 934097257 267138829
1 797404635 327238096
1 738779679 67101646
1 820206088 506190923
1 836590429 999903294
1 395490857 345924712
1 339402815 419523851
1 239118430 714528051
1 155246830 833819283
1 422927099 112364970
1 943270225 611367999
1 16059797 127047235
1 604742251 10394953
1 884343762 431287047
1 466385735 229736595
1 206547334 900447564
1 108723593 956327601
1 114472414 585492964
1 983432533 516434819
1 49864724 143751094
1 503054187 188602670
1 106720264 498631803
1 997418119 348977551
1 365413654 851536005
1 643113595 317974392
1 758092516 240438761
1 730492535 17004424
1 998096312 9949067
1 881401181 367452061
1 757176532 25364849
1 902754637 625218004
1 759017925 761402295
1 656634524 930961513
1 572165891 107842418
1 897784019 835903511
1 14440233 617301076
1 641244642 325757448
1 696318858 392653903
1 106445589 177136372
1 229617106 939565461
1 193258575 894574339
1 53389065 809334656
1 419522278 515091823
1 496535858 156713164
1 73346642 667355872
1 967227087 881927066
1 521274053 112707589
2 70193679 215114259
1 775789000 105480641
